noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.2,0.4972520615168661,0.13439488128197516,0.9244188310424049,65.79,55.46,60.19
0.22,0.4797414983774954,0.1327273480805224,0.9190062692262764,61.71,53.63,57.39
0.36,0.3916289393542174,0.11017226489663492,0.9221603520112144,67.15,53.49,59.55
0.6,0.2518669330351248,0.07086868340280447,0.8250068143763872,1.81,2.04,1.92
0.68,0.196240528954764,0.057374867646359184,0.8208013706631362,2.37,2.83,2.58
0.86,0.11799106309449633,0.03249145371901049,0.8281414275145049,2.79,3.05,2.91
