noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.54,0.3303488720952225,0.0889929732946471,0.9129122697714264,60.44,47.25,53.03
0.56,0.3189432231821885,0.08706261739950256,0.9085705385304308,56.74,45.31,50.38
0.58,0.3100461164396336,0.08761171017578985,0.9062536505587788,54.15,43.91,48.5
0.6,0.2999942147582777,0.08022824405423304,0.9089015225263812,57.45,44.62,50.23
0.62,0.29053401580351723,0.08082381288526785,0.9017172228495776,51.38,39.92,44.93
0.64,0.2862822866178024,0.0786445989757109,0.9067598613761146,54.6,43.64,48.51
0.66,0.2708374527127723,0.07012673463732777,0.9002764689848526,48.42,40.65,44.19
0.68,0.2578840487652768,0.06786963693018366,0.9027685837778904,52.73,40.66,45.92
0.7,0.253831567933583,0.06437462199937168,0.9056890308009812,52.21,42.36,46.77
0.72,0.2387650793098641,0.06284538093106984,0.8977454148981737,48.97,38.42,43.06
0.74,0.22744114983308825,0.056769705980129995,0.8889840738289008,40.53,32.51,36.08
0.76,0.21932396458346892,0.05976511924486767,0.8887893773606946,40.59,33.91,36.95
0.78,0.20783004050951387,0.05207144252784274,0.8773022857365368,30.38,27.04,28.61
0.8,0.19321582157647854,0.04951263883931883,0.8765819088041743,30.28,26.84,28.46
