noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.56,0.28409680750906524,0.07406095345677577,0.8615708111054865,11.93,13.76,12.78
0.58,0.2539673021482051,0.07152491142268268,0.8247926482613606,1.77,1.97,1.87
0.6,0.6112075522114693,0.17102750238461326,0.9260542813753359,67.98,56.12,61.48
0.62,0.2405128587385176,0.0684457451469893,0.8239359838012539,18.54,21.99,20.12
0.64,0.22091130855040367,0.06279932522307481,0.8248315875550017,1.8,2.02,1.9
0.66,0.20962211560998367,0.0567015468488291,0.8226315174642732,18.34,21.64,19.85
0.68,0.6112075522114693,0.17102750238461326,0.9269304154822632,66.58,58.56,62.31
0.7,0.21410729261119152,0.052411265275756916,0.8305946030139013,5.93,6.04,5.98
0.72,0.1888206599228565,0.04619731023724656,0.8310034655971341,4.02,4.46,4.23
0.74,0.1758167884942127,0.04286498755047369,0.8321132354659087,4.72,5.15,4.93
0.76,0.14774410021164244,0.03950670395845123,0.8218137922978077,1.77,2.07,1.91
0.78,0.1421595138758957,0.04215641019401583,0.8230209104006854,9.6,11.03,10.27
0.8,0.12618279025315332,0.03679377594409301,0.8192048596238464,17.73,21.79,19.55
0.82,0.11610796799534184,0.031505362475544266,0.8208792492504186,17.92,21.15,19.4
0.84,0.1295723885418553,0.033932418999262665,0.8264475682411121,2.27,2.54,2.4
0.86,0.6112075522114693,0.17102750238461326,0.9273003387718548,65.88,59.13,62.32
0.88,0.07443698770171775,0.02398162285296848,0.8207429617226744,1.66,1.97,1.8
0.9,0.07373890931702906,0.022591363612062185,0.8228846228729411,10.11,11.92,10.94
0.92,0.05447151601231368,0.016681948651630557,0.8175110003504537,17.39,21.91,19.39
0.94,0.051074174904388016,0.01716030471818778,0.8214633386550368,9.39,11.23,10.23
0.96,0.03695817638665578,0.015400218987102147,0.8228262139324792,9.09,10.64,9.81
0.98,0.01909947866995484,0.0076515479452812785,0.820859779603598,18.19,21.42,19.67
1.0,0.03426956863134688,0.0394731004873336,0.8247926482613606,2.03,2.31,2.16
