noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.84,0.17608346427728885,0.04607980690907,0.8735641135469803,28.92,26.25,27.52
0.86,0.16267168221552294,0.04446245840527014,0.8681515517308516,25.84,24.53,25.17
0.88,0.1570033598510388,0.039444738478866335,0.8628752774424672,22.22,22.95,22.58
0.9,0.1427443988702593,0.039374936500093466,0.8570343833962852,20.06,20.27,20.17
0.92,0.13698802385213815,0.03469312016955113,0.8533351505003699,19.3,20.64,19.95
0.94,0.12339720130419067,0.03270201966638611,0.8518165180483626,18.16,21.03,19.49
0.96,0.11367738821037453,0.027497534736541776,0.8407772283010786,10.87,11.01,10.94
0.98,0.10550224100732533,0.027921866202140017,0.8345274716716639,20.61,16.6,18.39
1.0,0.09685470706491561,0.023897210576408198,0.8244421946185896,19.93,16.21,17.88
